pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MultiHit,RISP_AVG,PH_AVG
54812,SSG,정준재,SSG3정준재,3,내야수,우투좌타,2003년 01월 03일,165cm/68kg,0.245,132,442,371,58,91,10,3,0,107,25,16,1,51,0,3,93,4,0.288,0.340,0.628,21,0.276,0.267
75847,SSG,최정,SSG14최정,14,내야수,우투우타,1987년 02월 28일,180cm/90kg,0.244,95,406,340,54,83,12,0,23,164,63,0,3,51,6,12,94,10,0.482,0.360,0.842,22,0.247,0.000
79456,SSG,이지영,SSG56이지영,56,포수,우투우타,1986년 02월 27일,177cm/88kg,0.239,76,216,197,13,47,6,1,3,64,18,4,2,11,0,2,22,8,0.325,0.283,0.608,14,0.177,0.000
51865,SSG,조형우,SSG20조형우,20,포수,우투우타,2002년 04월 04일,187cm/95kg,0.238,102,294,269,23,64,8,0,4,84,29,1,2,19,0,3,64,5,0.312,0.294,0.606,13,0.244,0.000
55832,SSG,이율예,SSG22이율예,22,포수,우투우타,2006년 11월 21일,183cm/90kg,0.231,8,13,13,3,3,0,0,3,12,7,0,0,0,0,0,6,0,0.923,0.231,1.154,0,0.250,0.000
76802,SSG,김성현,SSG6김성현,6,내야수,우투우타,1987년 03월 09일,172cm/72kg,0.217,59,137,115,15,25,3,0,1,31,11,4,1,16,0,1,20,4,0.270,0.316,0.586,2,0.226,0.375
55844,SSG,맥브룸,SSG맥브룸,,외야수,좌투우타,1992년 04월 09일,190cm/99kg,0.203,22,80,74,8,15,3,0,4,30,11,0,0,5,2,1,28,2,0.405,0.263,0.668,4,0.261,0.000
60558,SSG,오태곤,SSG37오태곤,37,외야수,우투우타,1991년 11월 18일,186cm/88kg,0.201,122,229,194,31,39,6,0,5,60,26,3,1,30,0,1,59,4,0.309,0.310,0.619,9,0.196,0.242
54806,SSG,이승민,SSG9이승민,9,외야수,좌투좌타,2005년 01월 06일,187cm/90kg,0.200,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.200,0.200,0.400,0,0.000,1.000
55897,SSG,홍대인,SSG97홍대인,97,내야수,우투좌타,2001년 11월 23일,174cm/76kg,0.200,14,5,5,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0.200,0.200,0.400,0,0.000,0.000
62934,SSG,김성욱,SSG31김성욱,31,외야수,우투우타,1993년 05월 01일,181cm/83kg,0.195,56,132,123,10,24,6,0,2,36,13,1,0,7,0,1,35,2,0.293,0.244,0.537,5,0.189,0.000
68868,SSG,최준우,SSG7최준우,7,외야수,우투좌타,1999년 03월 25일,175cm/78kg,0.191,78,192,152,17,29,0,0,3,38,22,3,4,30,0,3,47,3,0.250,0.328,0.578,5,0.262,0.148
69804,SSG,채현우,SSG15채현우,15,외야수,우투우타,1995년 11월 21일,182cm/80kg,0.188,41,52,48,8,9,1,1,1,15,9,0,1,3,0,0,13,1,0.313,0.231,0.544,2,0.231,0.000
