pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
50859,KT,오원석,KT47오원석,47,투수,좌투좌타,2001년 04월 23일,182cm/80kg,3.67,25,11,8,0,0,0.579,132 1/3,130,10,52,4,113,60,54,1.38,0,0,12,0,565,2187,0.261,25,1,7,4,1,5,0
69041,KT,손동현,KT41손동현,41,투수,우투우타,2001년 01월 23일,183cm/88kg,3.84,58,5,0,1,13,1.000,58 2/3,66,6,12,3,55,30,25,1.33,0,0,0,2,257,938,0.278,16,1,4,1,3,4,0
69047,KT,전용주,KT29전용주,29,투수,좌투좌타,2000년 02월 12일,188cm/87kg,3.95,21,0,1,0,4,0.000,13 2/3,18,0,7,0,11,8,6,1.83,0,0,0,0,66,257,0.310,4,0,0,1,1,3,0
54354,KT,헤이수스,KT65헤이수스,65,투수,좌투좌타,1996년 12월 10일,192cm/104kg,3.96,32,9,9,0,1,0.500,163 2/3,173,17,44,8,165,85,72,1.33,0,0,15,0,712,2716,0.267,22,2,8,3,0,7,2
65060,KT,주권,KT38주권,38,투수,우투우타,1995년 05월 31일,181cm/82kg,4.43,34,0,1,0,0,0.000,40 2/3,48,3,13,0,19,23,20,1.50,0,0,0,1,176,634,0.302,2,0,3,1,1,0,1
65048,KT,김민수,KT26김민수,26,투수,우투우타,1992년 07월 24일,188cm/80kg,4.96,58,4,3,0,11,0.571,52 2/3,63,5,15,1,36,31,29,1.48,0,0,0,1,230,817,0.303,11,2,2,4,1,5,0
69113,KT,임준형,KT14임준형,14,투수,좌투좌타,2000년 11월 16일,180cm/82kg,5.19,10,0,0,0,0,-,8 2/3,11,0,7,1,6,7,5,2.08,0,0,0,0,42,179,0.333,1,0,1,0,0,1,0
54063,KT,원상현,KT63원상현,63,투수,우투우타,2004년 10월 16일,183cm/83kg,5.21,52,0,3,0,14,0.000,57,56,8,35,1,45,35,33,1.60,0,0,0,0,259,1009,0.257,10,0,2,3,3,4,0
64768,KT,조이현,KT54조이현,54,투수,우투좌타,1995년 06월 27일,185cm/95kg,5.40,3,1,2,0,0,0.333,11 2/3,17,2,0,1,3,7,7,1.46,0,0,0,0,50,173,0.347,2,1,0,0,0,0,0
69032,KT,쿠에바스,KT쿠에바스,,투수,우투양타,1990년 10월 14일,188cm/98kg,5.40,18,3,10,0,0,0.231,98 1/3,104,13,46,5,60,69,59,1.53,0,0,7,0,445,1663,0.268,14,2,4,2,0,4,1
